time,Speed,PWM
0.01,-1,-124
0.02,-3,-124
0.03,-6,-124
0.04,-7,-124
0.05,-9,-124
0.06,-10,-124
0.07,-12,-124
0.08,-13,-124
0.09,-14,-124
0.1,-13,-124
0.11,-17,-124
0.12,-18,-124
0.13,-18,-124
0.14,-17,-124
0.15,-20,-124
0.16,-21,-124
0.17,-20,-124
0.18,-22,-124
0.19,-20,-124
0.2,-19,-124
0.21,-19,-124
0.22,-22,-124
0.23,-20,-124
0.24,-22,-124
0.25,-22,-124
0.26,-22,-124
0.27,-23,-124
0.28,-25,-124
0.29,-24,-124
0.3,-24,-124
0.31,-21,-124
0.32,-27,-124
0.33,-25,-124
0.34,-25,-124
0.35,-22,-124
0.36,-23,-124
0.37,-25,-124
0.38,-26,-124
0.39,-26,-124
0.4,-21,-124
0.41,-27,-124
0.42,-28,-124
0.43,-27,-124
0.44,-25,-124
0.45,-24,-124
0.46,-24,-124
0.47,-26,-124
0.48,-24,-124
0.49,-27,-124
0.5,-27,-124
0.51,-26,-124
0.52,-28,-124
0.53,-28,-124
0.54,-27,-124
0.55,-26,-124
0.56,-23,-124
0.57,-24,-124
0.58,-28,-124
0.59,-27,-124
0.6,-26,-124
0.61,-21,-124
0.62,-28,-124
0.63,-28,-124
0.64,-27,-124
0.65,-25,-124
0.66,-27,-124
0.67,-27,-124
0.68,-28,-124
0.69,-26,-124
0.7,-26,-124
0.71,-25,-124
0.72,-27,-124
0.73,-27,-124
0.74,-25,-124
0.75,-28,-124
0.76,-26,-124
0.77,-27,-124
0.78,-26,-124
0.79,-27,-124
0.8,-26,-124
0.81,-24,-124
0.82,-25,-124
0.83,-28,-124
0.84,-27,-124
0.85,-25,-124
0.86,-23,-124
0.87,-28,-124
0.88,-27,-124
0.89,-29,-124
0.9,-26,-124
0.91,-24,-124
0.92,-28,-124
0.93,-28,-124
0.94,-26,-124
0.95,-23,-124
0.96,-30,-124
0.97,-29,-124
0.98,-29,-124
0.99,-25,-124
1,-28,-124
1.01,-27,-124
1.02,-29,-124
1.03,-28,-124
1.04,-26,-124
1.05,-26,-124
1.06,-30,-124
1.07,-28,-124
1.08,-24,-124
1.09,-28,-124
1.1,-26,-124
1.11,-28,-124
1.12,-25,-124
1.13,-28,-124
1.14,-25,-124
1.15,-27,-124
1.16,-25,-124
1.17,-26,-124
1.18,-28,-124
1.19,-26,-124
1.2,-24,-124
1.21,-29,-124
1.22,-29,-124
1.23,-29,-124
1.24,-29,-124
1.25,-22,-124
1.26,-28,-124
1.27,-28,-124
1.28,-27,-124
1.29,-23,-124
1.3,-27,-124
1.31,-29,-124
1.32,-28,-124
1.33,-24,-124
1.34,-28,-124
1.35,-27,-124
1.36,-27,-124
1.37,-24,-124
1.38,-28,-124
1.39,-25,-124
1.4,-25,-124
1.41,-29,-124
1.42,-25,-124
1.43,-28,-124
1.44,-26,-124
1.45,-25,-124
1.46,-25,-124
1.47,-29,-124
1.48,-29,-124
1.49,-26,-124
1.5,-26,-124
1.51,-27,-124
1.52,-27,-124
1.53,-28,-124
1.54,-26,-124
1.55,-29,-124
1.56,-29,-124
1.57,-29,-124
1.58,-29,-124
1.59,-23,-124
1.6,-27,-124
1.61,-29,-124
1.62,-29,-124
1.63,-24,-124
1.64,-28,-124
1.65,-28,-124
1.66,-29,-124
1.67,-25,-124
1.68,-29,-124
1.69,-27,-124
1.7,-29,-124
1.71,-29,-124
1.72,-28,-124
1.73,-27,-124
1.74,-25,-124
1.75,-28,-124
1.76,-26,-124
1.77,-28,-124
1.78,-26,-124
1.79,-25,-124
1.8,-25,-124
1.81,-29,-124
1.82,-29,-124
1.83,-28,-124
1.84,-22,-124
1.85,-28,-124
1.86,-28,-124
1.87,-27,-124
1.88,-24,-124
1.89,-27,-124
1.9,-28,-124
1.91,-28,-124
1.92,-29,-124
1.93,-25,-124
1.94,-26,-124
1.95,-28,-124
1.96,-28,-124
1.97,-24,-124
1.98,-27,-124
1.99,-30,-124
2,-28,-124
2.01,-26,-124
2.02,-27,-124
2.03,-26,-124
2.04,-24,-124
2.05,-29,-124
2.06,-29,-124
2.07,-28,-124
2.08,-26,-124
2.09,-29,-124
2.1,-27,-124
2.11,-27,-124
2.12,-29,-124
2.13,-26,-124
2.14,-25,-124
2.15,-29,-124
2.16,-29,-124
2.17,-29,-124
2.18,-23,-124
2.19,-27,-124
2.2,-29,-124
2.21,-29,-124
2.22,-27,-124
2.23,-27,-124
2.24,-28,-124
2.25,-29,-124
2.26,-27,-124
2.27,-24,-124
2.28,-27,-124
2.29,-28,-124
2.3,-29,-124
2.31,-25,-124
2.32,-27,-124
2.33,-27,-124
2.34,-27,-124
2.35,-26,-124
2.36,-28,-124
2.37,-26,-124
2.38,-26,-124
2.39,-24,-124
2.4,-29,-124
2.41,-29,-124
2.42,-26,-124
2.43,-26,-124
2.44,-27,-124
2.45,-27,-124
2.46,-27,-124
2.47,-27,-124
2.48,-21,-124
2.49,-28,-124
2.5,-29,-124
2.51,-27,-124
